Account ID,Total
1001,1250.75
1003,3900.0
1005,2210.25
1006,5420.8
1008,4300.0
1010,7520.55
1011,2470.3
1013,5830.0
1015,3150.9
1017,9980.1
1019,1010.0
1021,6250.85
1023,8900.4
1025,4520.25
1027,2940.0
1029,7760.55
1031,5340.45
1032,1240.7
1034,4500.25
1036,2910.95
1038,6320.8
1040,1980.05
1042,3650.4
1044,5890.75
1046,2420.1
1048,4180.6
1050,6100.0
1052,1290.8
1054,3100.55
1056,2480.35
1058,4210.05
1060,3940.8
1062,1780.2
1064,2610.45
1065,5980.6
1067,3710.15
1069,6240.9
1071,4150.0
1073,2980.4
1075,7820.25
1077,3420.8
1079,5200.5
1081,2780.4
1083,4610.75
1085,6900.2
1087,2320.9
1089,4700.35
1091,3150.2
1093,5330.4
1095,2980.1
1097,2410.85
1099,3980.2
1101,4670.45
1103,2230.65
1105,3210.5
1107,5130.9
1109,4790.6
1111,3750.2
1113,5610.55
1115,6340.45
1117,8120.6
1119,5970.2
